 ,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,CRR,HCC,X20100607_LT_serum_and_plasma_NEG_41101,X20100607_LT_serum_and_plasma_NEG_42001,X20100607_LT_serum_and_plasma_NEG_42101,isotopes,adduct,pcgroup,two batch common,three batch common,B1 flg,B2 flg,B3 flg,Query Mass,Name,Formula,Exact Mass,PPM Error,PubChem CID,HMDB,LIPID MAPS,KEGG,MMCD,METLIN,parser
9,89.02360249,89.02,89.02460712,25.48453579,23.0369425,26.96614612,373,255,118,8225.170209,8715.53526,8183.699112,,[M-H]- 90.0323,209,1,0,1,1,0,89.02360249,Dihydroxyacetone (glycerone),C3H6O3,90.03169406,9,,,,,,3227,-1
9,89.02360249,89.02,89.02460712,25.48453579,23.0369425,26.96614612,373,255,118,8225.170209,8715.53526,8183.699112,,[M-H]- 90.0323,209,1,0,1,1,0,89.02360249,Lactic acid,C3H6O3,90.03169406,9,612,,,,,116,-1
9,89.02360249,89.02,89.02460712,25.48453579,23.0369425,26.96614612,373,255,118,8225.170209,8715.53526,8183.699112,,[M-H]- 90.0323,209,1,0,1,1,0,89.02360249,Methoxyacetic acid,C3H6O3,90.03169406,9,12251,HMDB0041929,,,,96183,-1
9,89.02360249,89.02,89.02460712,25.48453579,23.0369425,26.96614612,373,255,118,8225.170209,8715.53526,8183.699112,,[M-H]- 90.0323,209,1,0,1,1,0,89.02360249,Monoethyl carbonate,C3H6O3,90.03169406,9,105349,HMDB0031232,,,,87509,-1
9,89.02360249,89.02,89.02460712,25.48453579,23.0369425,26.96614612,373,255,118,8225.170209,8715.53526,8183.699112,,[M-H]- 90.0323,209,1,0,1,1,0,89.02360249,Dimethyl carbonate,C3H6O3,90.03169406,9,12021,HMDB0029580,,,,86361,-1
9,89.02360249,89.02,89.02460712,25.48453579,23.0369425,26.96614612,373,255,118,8225.170209,8715.53526,8183.699112,,[M-H]- 90.0323,209,1,0,1,1,0,89.02360249,Dihydroxyacetone,C3H6O3,90.03169406,9,670,HMDB0001882,,C00184,,283891,-1
9,89.02360249,89.02,89.02460712,25.48453579,23.0369425,26.96614612,373,255,118,8225.170209,8715.53526,8183.699112,,[M-H]- 90.0323,209,1,0,1,1,0,89.02360249,Glyceraldehyde;D-Glyceraldehyde;L-Glyceraldehyde,C3H6O3,90.03169406,9,751;79014;439723,HMDB0001051;;,  ,C02154;C00577;C02426,  ,4176;;,-1
9,89.02360249,89.02,89.02460712,25.48453579,23.0369425,26.96614612,373,255,118,8225.170209,8715.53526,8183.699112,,[M-H]- 90.0323,209,1,0,1,1,0,89.02360249,Hydroxypropionic acid,C3H6O3,90.03169406,9,68152,HMDB0000700,,C01013,,,-1
9,89.02360249,89.02,89.02460712,25.48453579,23.0369425,26.96614612,373,255,118,8225.170209,8715.53526,8183.699112,,[M-H]- 90.0323,209,1,0,1,1,0,89.02360249,L-Lactic acid;D-Lactic acid;Lactate,C3H6O3,90.03169406,9,107689;61503;612,HMDB0000190;HMDB0001311;,  ,C00186;C00256;C01432,  ,45858;63094;,-1
10,90.02668649,90.02,90.03026165,25.48453579,22.99275309,29.09107297,373,255,118,376.5439418,406.8220054,376.5182408,,,212,1,0,1,1,0,,,,,,,,,,,,
11,91.00261487,91,91.00355283,104.5795664,102.1738906,105.7250327,373,255,118,295.3989235,266.1309367,227.9457579,,,167,1,0,1,1,0,,,,,,,,,,,,
12,92.02601987,92.02521695,92.02682207,139.5970786,138.9766099,140.3084119,373,255,118,3250.754621,2727.991007,3177.610766,,,1,1,0,1,1,0,,,,,,,,,,,,
13,92.92824744,92.92718545,92.93176301,21.08699236,20.21407649,57.06966513,391,255,118,9334.262734,8863.485085,9803.548639,,,66,1,0,1,1,0,,,,,,,,,,,,
14,93.0299869,93.02381575,93.03746817,139.3372343,130.0592984,141.016311,388,249,115,441.528437,178.624606,224.7320439,,,1,1,0,1,1,0,93.0299869,Methylammonium nitrate,CH6N2O3,94.03784205,6,,,,,,319545,-1
14,93.0299869,93.02381575,93.03746817,139.3372343,130.0592984,141.016311,388,249,115,441.528437,178.624606,224.7320439,,,1,1,0,1,1,0,93.0299869,Carbamide peroxide,CH6N2O3,94.03784205,6,,,,,,282971,-1
15,94.92504546,94.92401765,94.92610521,21.06316344,20.21407649,21.58898643,373,255,118,6247.811821,5957.760259,6690.595136,,,66,1,0,1,1,0,,,,,,,,,,,,
16,96.92202031,96.91950889,96.92468384,21.07068733,20.20764152,21.58898643,373,255,118,1106.553945,1038.125785,1125.683208,,,66,1,0,1,1,0,,,,,,,,,,,,
17,102.9561739,102.9549631,102.9572621,19.34854051,18.92177797,20.1644904,373,255,118,2862.663704,2406.282784,2506.726116,,,123,1,1,1,1,1,102.9561739,Chlorotrifluoromethane,CClF3,103.9640623,5,,,,,,328259,-1
18,103.0386513,103.037738,103.04,39.27028829,34.81120818,39.9865805,373,255,118,5463.229401,4824.983345,3533.889409,,,85,1,1,1,1,1,,,,,,,,,,,,
19,104.9533774,104.9517561,104.9547754,19.36940748,18.92177797,20.1644904,373,255,118,943.0709825,850.5845145,862.0338936,,,123,1,1,1,1,1,,,,,,,,,,,,
20,106.0283491,106.02,106.0310468,146.6922032,145.0705553,147.5969577,371,254,117,37.24460506,94.94898172,22.56337043,,,299,1,1,1,1,1,,,,,,,,,,,,
21,107.0487906,107.04,107.0534453,112.7010338,108.4658239,131.1860633,370,248,116,260.7735763,1878.796772,1718.026835,,,3,0,0,1,0,0,,,,,,,,,,,,
22,111.0074662,111.0062766,111.0100999,24.91793242,23.62526422,27.27308474,373,255,118,1627.984113,1208.788966,1120.935018,,[M-2H+Na]- 90.0323,209,1,1,1,1,1,111.0074662,"Acetic acid, hydroxy-, methyl ester",C3H6O3,90.03169405,9,,,,,,334143,8
22,111.0074662,111.0062766,111.0100999,24.91793242,23.62526422,27.27308474,373,255,118,1627.984113,1208.788966,1120.935018,,[M-2H+Na]- 90.0323,209,1,1,1,1,1,111.0074662,"1,3,5-Trioxane",C3H6O3,90.03169405,9,,,,,,270566,8
22,111.0074662,111.0062766,111.0100999,24.91793242,23.62526422,27.27308474,373,255,118,1627.984113,1208.788966,1120.935018,,[M-2H+Na]- 90.0323,209,1,1,1,1,1,111.0074662,D-(+)-Glyceraldehyde,C3H6O3,90.03169406,9,79014,,,,,63095,8
22,111.0074662,111.0062766,111.0100999,24.91793242,23.62526422,27.27308474,373,255,118,1627.984113,1208.788966,1120.935018,,[M-2H+Na]- 90.0323,209,1,1,1,1,1,111.0074662,Ã_Â_-lactic acid,C3H6O3,90.03169406,9,,,,,,35392,8
22,111.0074662,111.0062766,111.0100999,24.91793242,23.62526422,27.27308474,373,255,118,1627.984113,1208.788966,1120.935018,,[M-2H+Na]- 90.0323,209,1,1,1,1,1,111.0074662,Dihydroxyacetone (glycerone),C3H6O3,90.03169406,9,,,,,,3227,8
22,111.0074662,111.0062766,111.0100999,24.91793242,23.62526422,27.27308474,373,255,118,1627.984113,1208.788966,1120.935018,,[M-2H+Na]- 90.0323,209,1,1,1,1,1,111.0074662,Lactic acid,C3H6O3,90.03169406,9,612,,,,,116,8
22,111.0074662,111.0062766,111.0100999,24.91793242,23.62526422,27.27308474,373,255,118,1627.984113,1208.788966,1120.935018,,[M-2H+Na]- 90.0323,209,1,1,1,1,1,111.0074662,Methoxyacetic acid,C3H6O3,90.03169406,9,12251,HMDB0041929,,,,96183,8
22,111.0074662,111.0062766,111.0100999,24.91793242,23.62526422,27.27308474,373,255,118,1627.984113,1208.788966,1120.935018,,[M-2H+Na]- 90.0323,209,1,1,1,1,1,111.0074662,Monoethyl carbonate,C3H6O3,90.03169406,9,105349,HMDB0031232,,,,87509,8
22,111.0074662,111.0062766,111.0100999,24.91793242,23.62526422,27.27308474,373,255,118,1627.984113,1208.788966,1120.935018,,[M-2H+Na]- 90.0323,209,1,1,1,1,1,111.0074662,Dimethyl carbonate,C3H6O3,90.03169406,9,12021,HMDB0029580,,,,86361,8
22,111.0074662,111.0062766,111.0100999,24.91793242,23.62526422,27.27308474,373,255,118,1627.984113,1208.788966,1120.935018,,[M-2H+Na]- 90.0323,209,1,1,1,1,1,111.0074662,Dihydroxyacetone,C3H6O3,90.03169406,9,670,HMDB0001882,,C00184,,283891,8
22,111.0074662,111.0062766,111.0100999,24.91793242,23.62526422,27.27308474,373,255,118,1627.984113,1208.788966,1120.935018,,[M-2H+Na]- 90.0323,209,1,1,1,1,1,111.0074662,Glyceraldehyde;D-Glyceraldehyde;L-Glyceraldehyde,C3H6O3,90.03169406,9,751;79014;439723,HMDB0001051;;,  ,C02154;C00577;C02426,  ,4176;;,8
22,111.0074662,111.0062766,111.0100999,24.91793242,23.62526422,27.27308474,373,255,118,1627.984113,1208.788966,1120.935018,,[M-2H+Na]- 90.0323,209,1,1,1,1,1,111.0074662,Hydroxypropionic acid,C3H6O3,90.03169406,9,68152,HMDB0000700,,C01013,,,8
22,111.0074662,111.0062766,111.0100999,24.91793242,23.62526422,27.27308474,373,255,118,1627.984113,1208.788966,1120.935018,,[M-2H+Na]- 90.0323,209,1,1,1,1,1,111.0074662,L-Lactic acid;D-Lactic acid;Lactate,C3H6O3,90.03169406,9,107689;61503;612,HMDB0000190;HMDB0001311;,  ,C00186;C00256;C01432,  ,45858;63094;,8
23,112.9844836,112.98,112.9855302,26.72964453,18.00005161,29.09107297,381,255,118,24489.67098,28830.99421,22134.26054,[35][M]+,,17,1,1,1,1,1,112.9844836,"Acetic acid, trifluoro-",C2HF3O2,113.9928639,9,,,,,,303777,-1
23,112.9844836,112.98,112.9855302,26.72964453,18.00005161,29.09107297,381,255,118,24489.67098,28830.99421,22134.26054,[35][M]+,,17,1,1,1,1,1,112.9844836,trifluoroacetic acid,C2HF3O2,113.9928639,9,,,,,,85337,-1
